,Epoch,Feature level,Test accuracy
0,0,Level -1,9.333333333333334
1,100,Level -1,44.0
2,200,Level -1,44.333333333333336
3,300,Level -1,43.666666666666664
4,400,Level -1,46.0
5,500,Level -1,46.33333333333333
6,600,Level -1,46.666666666666664
7,700,Level -1,46.666666666666664
8,800,Level -1,47.66666666666667
9,900,Level -1,47.66666666666667
10,1000,Level -1,47.66666666666667
11,1100,Level -1,47.0
12,1200,Level -1,47.0
13,1300,Level -1,47.0
14,1400,Level -1,47.0
15,1500,Level -1,48.0
16,1600,Level -1,48.333333333333336
17,1700,Level -1,48.333333333333336
18,1800,Level -1,47.66666666666667
19,1900,Level -1,48.0
20,2000,Level -1,48.0
21,2100,Level -1,48.333333333333336
22,2200,Level -1,48.333333333333336
23,2300,Level -1,48.66666666666667
24,2400,Level -1,48.66666666666667
25,2500,Level -1,50.0
26,2600,Level -1,50.0
27,2700,Level -1,50.0
28,2800,Level -1,50.33333333333333
29,2900,Level -1,50.66666666666667
30,3000,Level -1,51.66666666666667
31,3100,Level -1,51.33333333333333
32,3200,Level -1,51.0
33,3300,Level -1,51.33333333333333
34,3400,Level -1,51.33333333333333
35,3500,Level -1,51.66666666666667
36,3600,Level -1,52.33333333333333
37,3700,Level -1,52.666666666666664
38,3800,Level -1,52.33333333333333
39,3900,Level -1,53.0
40,4000,Level -1,53.333333333333336
41,4100,Level -1,54.0
42,4200,Level -1,54.333333333333336
43,4300,Level -1,54.666666666666664
44,4400,Level -1,55.00000000000001
45,4500,Level -1,55.00000000000001
46,4600,Level -1,55.00000000000001
47,4700,Level -1,55.00000000000001
48,4800,Level -1,55.333333333333336
49,4900,Level -1,55.00000000000001
50,5000,Level -1,55.00000000000001
51,0,Level -2,22.0
52,100,Level -2,74.66666666666667
53,200,Level -2,76.0
54,300,Level -2,77.33333333333333
55,400,Level -2,76.66666666666667
56,500,Level -2,76.66666666666667
57,600,Level -2,76.66666666666667
58,700,Level -2,76.66666666666667
59,800,Level -2,76.33333333333333
60,900,Level -2,77.0
61,1000,Level -2,76.66666666666667
62,1100,Level -2,76.66666666666667
63,1200,Level -2,76.66666666666667
64,1300,Level -2,77.33333333333333
65,1400,Level -2,76.66666666666667
66,1500,Level -2,77.0
67,1600,Level -2,76.66666666666667
68,1700,Level -2,77.0
69,1800,Level -2,76.66666666666667
70,1900,Level -2,76.66666666666667
71,2000,Level -2,76.66666666666667
72,2100,Level -2,76.66666666666667
73,2200,Level -2,76.66666666666667
74,2300,Level -2,76.66666666666667
75,2400,Level -2,76.66666666666667
76,2500,Level -2,76.66666666666667
77,2600,Level -2,76.66666666666667
78,2700,Level -2,76.33333333333333
79,2800,Level -2,76.66666666666667
80,2900,Level -2,76.33333333333333
81,3000,Level -2,76.66666666666667
82,3100,Level -2,76.66666666666667
83,3200,Level -2,76.66666666666667
84,3300,Level -2,76.66666666666667
85,3400,Level -2,76.66666666666667
86,3500,Level -2,76.66666666666667
87,3600,Level -2,76.66666666666667
88,3700,Level -2,76.66666666666667
89,3800,Level -2,76.66666666666667
90,3900,Level -2,76.66666666666667
91,4000,Level -2,76.66666666666667
92,4100,Level -2,76.66666666666667
93,4200,Level -2,76.66666666666667
94,4300,Level -2,76.66666666666667
95,4400,Level -2,76.66666666666667
96,4500,Level -2,76.66666666666667
97,4600,Level -2,76.66666666666667
98,4700,Level -2,76.66666666666667
99,4800,Level -2,76.66666666666667
100,4900,Level -2,76.66666666666667
101,5000,Level -2,76.66666666666667
102,0,Level -3,8.0
103,100,Level -3,81.33333333333333
104,200,Level -3,80.66666666666666
105,300,Level -3,80.33333333333333
106,400,Level -3,79.66666666666666
107,500,Level -3,80.0
108,600,Level -3,79.66666666666666
109,700,Level -3,80.33333333333333
110,800,Level -3,80.33333333333333
111,900,Level -3,80.33333333333333
112,1000,Level -3,80.66666666666666
113,1100,Level -3,80.66666666666666
114,1200,Level -3,80.66666666666666
115,1300,Level -3,80.66666666666666
116,1400,Level -3,80.66666666666666
117,1500,Level -3,80.66666666666666
118,1600,Level -3,80.66666666666666
119,1700,Level -3,80.66666666666666
120,1800,Level -3,80.66666666666666
121,1900,Level -3,80.66666666666666
122,2000,Level -3,80.66666666666666
123,2100,Level -3,80.66666666666666
124,2200,Level -3,80.66666666666666
125,2300,Level -3,80.66666666666666
126,2400,Level -3,80.66666666666666
127,2500,Level -3,81.0
128,2600,Level -3,81.0
129,2700,Level -3,81.0
130,2800,Level -3,81.33333333333333
131,2900,Level -3,81.33333333333333
132,3000,Level -3,81.33333333333333
133,3100,Level -3,81.33333333333333
134,3200,Level -3,81.33333333333333
135,3300,Level -3,81.33333333333333
136,3400,Level -3,81.33333333333333
137,3500,Level -3,81.0
138,3600,Level -3,81.0
139,3700,Level -3,81.0
140,3800,Level -3,81.0
141,3900,Level -3,81.0
142,4000,Level -3,81.0
143,4100,Level -3,81.0
144,4200,Level -3,81.0
145,4300,Level -3,81.0
146,4400,Level -3,81.0
147,4500,Level -3,81.0
148,4600,Level -3,81.0
149,4700,Level -3,81.0
150,4800,Level -3,81.0
151,4900,Level -3,81.0
152,5000,Level -3,81.0
153,0,Level -4,4.0
154,100,Level -4,78.0
155,200,Level -4,79.66666666666666
156,300,Level -4,81.33333333333333
157,400,Level -4,82.33333333333334
158,500,Level -4,82.33333333333334
159,600,Level -4,82.33333333333334
160,700,Level -4,83.33333333333334
161,800,Level -4,84.0
162,900,Level -4,84.33333333333334
163,1000,Level -4,84.33333333333334
164,1100,Level -4,84.33333333333334
165,1200,Level -4,84.66666666666667
166,1300,Level -4,85.33333333333334
167,1400,Level -4,85.0
168,1500,Level -4,84.66666666666667
169,1600,Level -4,84.66666666666667
170,1700,Level -4,84.66666666666667
171,1800,Level -4,84.66666666666667
172,1900,Level -4,84.66666666666667
173,2000,Level -4,84.66666666666667
174,2100,Level -4,84.66666666666667
175,2200,Level -4,85.0
176,2300,Level -4,85.0
177,2400,Level -4,85.0
178,2500,Level -4,85.33333333333334
179,2600,Level -4,85.0
180,2700,Level -4,85.0
181,2800,Level -4,85.0
182,2900,Level -4,85.0
183,3000,Level -4,85.33333333333334
184,3100,Level -4,85.33333333333334
185,3200,Level -4,85.33333333333334
186,3300,Level -4,85.0
187,3400,Level -4,85.0
188,3500,Level -4,85.0
189,3600,Level -4,85.0
190,3700,Level -4,85.0
191,3800,Level -4,85.0
192,3900,Level -4,85.0
193,4000,Level -4,85.0
194,4100,Level -4,85.0
195,4200,Level -4,85.0
196,4300,Level -4,85.0
197,4400,Level -4,85.0
198,4500,Level -4,85.0
199,4600,Level -4,85.0
200,4700,Level -4,85.0
201,4800,Level -4,85.0
202,4900,Level -4,85.0
203,5000,Level -4,85.0
